pO2_bg,PO4_bg,mscore_bg,State_bg,pCO2_bg,efolding (m)_bg,globe_avg_temp (C)_bg,dissolved_O2_sur (molkg-1x1E6)_bg,file_bg,benthic_anoxia_bg,pO2_ev,PO4_ev,mscore_ev,State_ev,pCO2_ev,efolding (m)_ev,globe_avg_temp (C)_ev,dissolved_O2_sur (molkg-1x1E6)_ev,file_ev,benthic_anoxia_ev,PO4_change,pO2_change,temp_change,benthic_anoxia_change,efolding_change,dissolved_O2_change (avg over top 500 m)
1.2,0.9,0.352479784,Background,5,0.5,24.06,223.9596215,Devon370Ma_050Remin_5pCO2.pO2PO4_55a.dat.44,1.19,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.5,-0.2,5.88,9.91,0.25,-44.25745283
1.1,1.2,0.416669591,Background,2.5,1,21.46,136.0907772,251103.pO2PO4_55b.dat.32,3.85,0.9,1.2,0.707311062,Kellwasser,1,0.75,18.18,123.9745034,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.12,9.27,0,-0.2,3.28,5.42,-0.25,-12.11627387
1.1,1.1,0.416669591,Background,2.5,1,21.46,113.6966021,251103.pO2PO4_55b.dat.31,3.85,0.9,1.2,0.707311062,Kellwasser,1,0.75,18.18,123.9745034,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.12,9.27,0.1,-0.2,3.28,5.42,-0.25,10.27790131
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,1.1,1.6,0.521273485,Kellwasser,1,0.75,18.18,91.41401824,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.31,12.2,0.6,0,3.28,10.82,0,5.573368981
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,1.1,1.7,0.521273485,Kellwasser,1,0.75,18.18,109.2405873,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.32,12.2,0.7,0,3.28,10.82,0,23.39993807
1.2,1.1,0.468167688,Background,2.5,0.75,21.46,111.5448613,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.41,1.65,1.1,1.6,0.5543525,Kellwasser,0.75,1,17.06,100.9647749,251025.pO2PO4_55c.dat.31,10.09,0.5,-0.1,4.4,8.44,0.25,-10.58008638
1.2,1.1,0.468167688,Background,2.5,0.75,21.46,111.5448613,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.41,1.65,1.1,1.7,0.554011959,Kellwasser,0.75,1,17.06,120.2411222,251025.pO2PO4_55c.dat.32,13.67,0.6,-0.1,4.4,12.02,0.25,8.696260916
1,1,0.371971628,Background,2.5,1,21.46,87.83979865,251103.pO2PO4_55b.dat.20,2.75,0.9,1.4,0.66094357,Kellwasser,1,0.75,18.18,169.6706604,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.14,14.68,0.4,-0.1,3.28,11.93,-0.25,81.83086175
1,1,0.371971628,Background,2.5,1,21.46,87.83979865,251103.pO2PO4_55b.dat.20,2.75,0.9,1.3,0.66094357,Kellwasser,1,0.75,18.18,145.8663173,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.13,14.68,0.3,-0.1,3.28,11.93,-0.25,58.02651867
1.1,1.2,0.416669591,Background,2.5,1,21.46,136.0907772,251103.pO2PO4_55b.dat.32,3.85,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.3,-0.1,4.4,8.99,0,-56.04456964
1.1,1.1,0.416669591,Background,2.5,1,21.46,113.6966021,251103.pO2PO4_55b.dat.31,3.85,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.4,-0.1,4.4,8.99,0,-33.65039447
1.1,1,0.390493104,Background,5,0.75,24.06,77.53463433,Devon370Ma_075Remin_5pCO2.pO2PO4_55b.dat.30,2.29,0.9,1.4,0.66094357,Kellwasser,1,0.75,18.18,169.6706604,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.14,14.68,0.4,-0.2,5.88,12.39,0,92.13602607
1.1,1,0.390493104,Background,5,0.75,24.06,77.53463433,Devon370Ma_075Remin_5pCO2.pO2PO4_55b.dat.30,2.29,0.9,1.3,0.66094357,Kellwasser,1,0.75,18.18,145.8663173,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.13,14.68,0.3,-0.2,5.88,12.39,0,68.331683
1,1.1,0.393150484,Background,2.5,1,21.46,107.1565566,251103.pO2PO4_55b.dat.21,3.94,0.9,1.3,0.66094357,Kellwasser,1,0.75,18.18,145.8663173,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.13,14.68,0.2,-0.1,3.28,10.74,-0.25,38.7097607
1,1.1,0.393150484,Background,2.5,1,21.46,107.1565566,251103.pO2PO4_55b.dat.21,3.94,0.9,1.4,0.66094357,Kellwasser,1,0.75,18.18,169.6706604,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.14,14.68,0.3,-0.1,3.28,10.74,-0.25,62.51410377
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,1,1.4,0.615350876,Kellwasser,0.75,0.75,17.06,183.8741737,251030.pO2PO4_55b.dat.24,7.8,0.6,0.1,7,5.97,0,17.73521944
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,1,1.4,0.615350876,Kellwasser,0.75,0.75,17.06,183.8741737,251030.pO2PO4_55b.dat.24,7.8,0.6,0.1,7,5.97,0,17.73521944
1.2,0.9,0.364158016,Background,2.5,0.5,21.46,239.3142786,251104.pO2PO4_55a.dat.44,1.1,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.6,-0.2,4.4,11.74,0.5,-159.268071
1,1,0.371971628,Background,2.5,1,21.46,87.83979865,251103.pO2PO4_55b.dat.20,2.75,1,1.5,0.524769688,Kellwasser,1,0.75,18.18,72.0914104,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.20,15.96,0.5,0,3.28,13.21,-0.25,-15.74838825
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,1.2,1.8,0.49245255,Kellwasser,0.75,1,17.06,146.8665869,251025.pO2PO4_55c.dat.43,10.64,0.8,0.1,4.4,9.26,0.25,61.02593764
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,1.2,1.9,0.49245255,Kellwasser,0.75,1,17.06,170.2301379,251025.pO2PO4_55c.dat.44,10.64,0.9,0.1,4.4,9.26,0.25,84.38948864
1.1,1.1,0.416669591,Background,2.5,1,21.46,113.6966021,251103.pO2PO4_55b.dat.31,3.85,0.9,1.4,0.66094357,Kellwasser,1,0.75,18.18,169.6706604,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.14,14.68,0.3,-0.2,3.28,10.83,-0.25,55.97405834
1.1,1.2,0.416669591,Background,2.5,1,21.46,136.0907772,251103.pO2PO4_55b.dat.32,3.85,0.9,1.4,0.66094357,Kellwasser,1,0.75,18.18,169.6706604,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.14,14.68,0.2,-0.2,3.28,10.83,-0.25,33.57988317
1.1,1.1,0.416669591,Background,2.5,1,21.46,113.6966021,251103.pO2PO4_55b.dat.31,3.85,0.9,1.3,0.66094357,Kellwasser,1,0.75,18.18,145.8663173,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.13,14.68,0.2,-0.2,3.28,10.83,-0.25,32.16971527
1.1,1.2,0.416669591,Background,2.5,1,21.46,136.0907772,251103.pO2PO4_55b.dat.32,3.85,0.9,1.3,0.66094357,Kellwasser,1,0.75,18.18,145.8663173,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.13,14.68,0.1,-0.2,3.28,10.83,-0.25,9.775540093
1.2,1.1,0.370451494,Background,5,0.75,24.06,100.7840037,Devon370Ma_075Remin_5pCO2.pO2PO4_55b.dat.41,2.29,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.3,-0.2,5.88,8.81,0,78.91816495
1.2,1.2,0.427080903,Background,2.5,1,21.46,145.293583,251103.pO2PO4_55b.dat.42,2.84,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.2,-0.2,3.28,8.26,-0.25,34.40858563
1.1,1,0.390493104,Background,5,0.75,24.06,77.53463433,Devon370Ma_075Remin_5pCO2.pO2PO4_55b.dat.30,2.29,1,1.5,0.524769688,Kellwasser,1,0.75,18.18,72.0914104,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.20,15.96,0.5,-0.1,5.88,13.67,0,-5.443223927
1.2,1.1,0.468167688,Background,2.5,0.75,21.46,111.5448613,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.41,1.65,1.1,1.7,0.521273485,Kellwasser,1,0.75,18.18,109.2405873,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.32,12.2,0.6,-0.1,3.28,10.55,0,-2.304273949
1.2,1.1,0.468167688,Background,2.5,0.75,21.46,111.5448613,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.41,1.65,1.1,1.6,0.521273485,Kellwasser,1,0.75,18.18,91.41401824,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.31,12.2,0.5,-0.1,3.28,10.55,0,-20.13084304
1.1,1.1,0.355966851,Background,5,1,24.06,102.5284655,Devon370Ma_1Remin_5pCO2.pO2PO4_55b.dat.31,3.67,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.3,-0.1,5.88,7.43,-0.25,77.17370318
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,0.9,1.3,0.503735592,Kellwasser,0.75,1,17.06,161.3606291,251025.pO2PO4_55b.dat.13,11.56,0.5,0,7,9.73,0.25,-4.778325128
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,0.9,1.3,0.503735592,Kellwasser,0.75,1,17.06,161.3606291,251025.pO2PO4_55b.dat.13,11.56,0.5,0,7,9.73,0.25,-4.778325128
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,1,1.4,0.615350876,Kellwasser,0.75,0.75,17.06,183.8741737,251030.pO2PO4_55b.dat.24,7.8,0.4,-0.1,4.4,6.42,0,98.03352441
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,0.8,1.2,0.684237598,Kellwasser,1,0.75,18.18,118.3068962,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.02,12.57,0.4,-0.1,5.88,10.74,0,-47.83205804
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,0.8,1.1,0.684237598,Kellwasser,1,0.75,18.18,103.7711627,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.01,12.57,0.3,-0.1,5.88,10.74,0,-62.36779154
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,0.8,1.1,0.684237598,Kellwasser,1,0.75,18.18,103.7711627,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.01,12.57,0.3,-0.1,5.88,10.74,0,-62.36779154
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,0.8,1.2,0.684237598,Kellwasser,1,0.75,18.18,118.3068962,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.02,12.57,0.4,-0.1,5.88,10.74,0,-47.83205804
1,1.1,0.393150484,Background,2.5,1,21.46,107.1565566,251103.pO2PO4_55b.dat.21,3.94,1,1.5,0.524769688,Kellwasser,1,0.75,18.18,72.0914104,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.20,15.96,0.4,0,3.28,12.02,-0.25,-35.06514622
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,1,1.3,0.679021468,Kellwasser,1,0.75,18.18,154.1479141,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.23,7.52,0.5,0.1,5.88,5.69,0,-11.99104008
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,1,1.3,0.679021468,Kellwasser,1,0.75,18.18,154.1479141,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.23,7.52,0.5,0.1,5.88,5.69,0,-11.99104008
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,1.1,1.5,0.646946866,Kellwasser,1,0.75,18.18,74.9922765,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.30,7.98,0.5,0,3.28,6.6,0,-10.84837277
1.2,0.9,0.352479784,Background,5,0.5,24.06,223.9596215,Devon370Ma_050Remin_5pCO2.pO2PO4_55a.dat.44,1.19,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.6,-0.2,7,11.65,0.5,-143.9134139
1.2,1.3,0.431697772,Background,2.5,1,21.46,170.1500732,251103.pO2PO4_55b.dat.43,3.58,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.1,-0.2,3.28,7.52,-0.25,9.552095435
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,0.9,1.3,0.607251064,Kellwasser,0.75,0.75,17.06,149.5253819,251030.pO2PO4_55b.dat.13,8.26,0.4,-0.1,7,6.15,0,-54.02541137
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,0.9,1.3,0.607251064,Kellwasser,0.75,0.75,17.06,149.5253819,251030.pO2PO4_55b.dat.13,8.26,0.4,-0.1,7,6.15,0,-54.02541137
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,1.2,1.7,0.472367969,Kellwasser,1,0.75,18.18,113.443406,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.42,9.91,0.7,0.1,3.28,8.53,0,27.60275675
1.2,1.1,0.468167688,Background,2.5,0.75,21.46,111.5448613,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.41,1.65,1,1.4,0.615350876,Kellwasser,0.75,0.75,17.06,183.8741737,251030.pO2PO4_55b.dat.24,7.8,0.3,-0.2,4.4,6.15,0,72.32931239
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,1,1.3,0.679021468,Kellwasser,1,0.75,18.18,154.1479141,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.23,7.52,0.3,-0.1,3.28,6.14,0,68.30726488
1.2,1.1,0.468167688,Background,2.5,0.75,21.46,111.5448613,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.41,1.65,1.1,1.5,0.646946866,Kellwasser,1,0.75,18.18,74.9922765,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.30,7.98,0.4,-0.1,3.28,6.33,0,-36.55258479
1,1,0.371971628,Background,2.5,1,21.46,87.83979865,251103.pO2PO4_55b.dat.20,2.75,1.1,1.6,0.5543525,Kellwasser,0.75,1,17.06,100.9647749,251025.pO2PO4_55c.dat.31,10.09,0.6,0.1,4.4,7.34,0,13.12497625
1.1,1.1,0.416669591,Background,2.5,1,21.46,113.6966021,251103.pO2PO4_55b.dat.31,3.85,1,1.5,0.524769688,Kellwasser,1,0.75,18.18,72.0914104,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.20,15.96,0.4,-0.1,3.28,12.11,-0.25,-41.60519165
1.1,1.2,0.416669591,Background,2.5,1,21.46,136.0907772,251103.pO2PO4_55b.dat.32,3.85,1,1.5,0.524769688,Kellwasser,1,0.75,18.18,72.0914104,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.20,15.96,0.3,-0.1,3.28,12.11,-0.25,-63.99936683
1,1,0.371971628,Background,2.5,1,21.46,87.83979865,251103.pO2PO4_55b.dat.20,2.75,1.1,1.7,0.554011959,Kellwasser,0.75,1,17.06,120.2411222,251025.pO2PO4_55c.dat.32,13.67,0.7,0.1,4.4,10.92,0,32.40132355
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,0.9,1.3,0.503735592,Kellwasser,0.75,1,17.06,161.3606291,251025.pO2PO4_55b.dat.13,11.56,0.3,-0.2,4.4,10.18,0.25,75.51997984
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1,1.5,0.447463833,Kellwasser,0.75,0.75,17.06,75.25343972,251030.pO2PO4_55c.dat.20,8.53,0.6,0,7,6.42,0,-128.2973535
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1,1.5,0.447463833,Kellwasser,0.75,0.75,17.06,75.25343972,251030.pO2PO4_55c.dat.20,8.53,0.6,0,7,6.42,0,-128.2973535
1.2,1.1,0.468167688,Background,2.5,0.75,21.46,111.5448613,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.41,1.65,1.2,1.9,0.49245255,Kellwasser,0.75,1,17.06,170.2301379,251025.pO2PO4_55c.dat.44,10.64,0.8,0,4.4,8.99,0.25,58.68527662
1.2,1.1,0.468167688,Background,2.5,0.75,21.46,111.5448613,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.41,1.65,1.2,1.8,0.49245255,Kellwasser,0.75,1,17.06,146.8665869,251025.pO2PO4_55c.dat.43,10.64,0.7,0,4.4,8.99,0.25,35.32172562
1.1,1,0.390493104,Background,5,0.75,24.06,77.53463433,Devon370Ma_075Remin_5pCO2.pO2PO4_55b.dat.30,2.29,1.1,1.6,0.5543525,Kellwasser,0.75,1,17.06,100.9647749,251025.pO2PO4_55c.dat.31,10.09,0.6,0,7,7.8,0.25,23.43014057
1.2,1.1,0.468167688,Background,2.5,0.75,21.46,111.5448613,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.41,1.65,1,1.3,0.679021468,Kellwasser,1,0.75,18.18,154.1479141,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.23,7.52,0.2,-0.2,3.28,5.87,0,42.60305286
1.1,1,0.390493104,Background,5,0.75,24.06,77.53463433,Devon370Ma_075Remin_5pCO2.pO2PO4_55b.dat.30,2.29,1.1,1.7,0.554011959,Kellwasser,0.75,1,17.06,120.2411222,251025.pO2PO4_55c.dat.32,13.67,0.7,0,7,11.38,0.25,42.70648787
1.2,0.9,0.364158016,Background,2.5,0.5,21.46,239.3142786,251104.pO2PO4_55a.dat.44,1.1,1,1.5,0.524769688,Kellwasser,1,0.75,18.18,72.0914104,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.20,15.96,0.6,-0.2,3.28,14.86,0.25,-167.2228682
1,1.1,0.393150484,Background,2.5,1,21.46,107.1565566,251103.pO2PO4_55b.dat.21,3.94,1.1,1.6,0.5543525,Kellwasser,0.75,1,17.06,100.9647749,251025.pO2PO4_55c.dat.31,10.09,0.5,0.1,4.4,6.15,0,-6.191781724
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,0.8,1.2,0.581754066,Kellwasser,0.75,0.75,17.06,121.8285979,251030.pO2PO4_55b.dat.02,11.01,0.3,-0.2,7,8.9,0,-81.72219532
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,0.8,1.2,0.581754066,Kellwasser,0.75,0.75,17.06,121.8285979,251030.pO2PO4_55b.dat.02,11.01,0.3,-0.2,7,8.9,0,-81.72219532
1,1.1,0.393150484,Background,2.5,1,21.46,107.1565566,251103.pO2PO4_55b.dat.21,3.94,1.1,1.7,0.554011959,Kellwasser,0.75,1,17.06,120.2411222,251025.pO2PO4_55c.dat.32,13.67,0.6,0.1,4.4,9.73,0,13.08456558
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.2,1.8,0.375039434,Kellwasser,1,0.75,18.18,133.0883533,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.43,12.75,0.9,0.2,5.88,10.64,0,-70.46243991
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.2,1.8,0.375039434,Kellwasser,1,0.75,18.18,133.0883533,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.43,12.75,0.9,0.2,5.88,10.64,0,-70.46243991
1.1,1.1,0.355966851,Background,5,1,24.06,102.5284655,Devon370Ma_1Remin_5pCO2.pO2PO4_55b.dat.31,3.67,0.9,1.2,0.707311062,Kellwasser,1,0.75,18.18,123.9745034,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.12,9.27,0.1,-0.2,5.88,5.6,-0.25,21.44603786
0.8,0.7,0.3879819,Background,5,0.75,24.06,130.5182668,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.02,1.83,0.9,1.3,0.503735592,Kellwasser,0.75,1,17.06,161.3606291,251025.pO2PO4_55b.dat.13,11.56,0.6,0.1,7,9.73,0.25,30.84236229
0.8,0.7,0.3879819,Background,5,0.75,24.06,130.5182668,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.02,1.83,0.9,1.3,0.503735592,Kellwasser,0.75,1,17.06,161.3606291,251025.pO2PO4_55b.dat.13,11.56,0.6,0.1,7,9.73,0.25,30.84236229
0.8,0.7,0.3879819,Background,5,0.75,24.06,130.5182668,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.02,1.83,0.8,1.2,0.684237598,Kellwasser,1,0.75,18.18,118.3068962,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.02,12.57,0.5,0,5.88,10.74,0,-12.21137063
0.8,0.7,0.3879819,Background,5,0.75,24.06,130.5182668,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.02,1.83,0.8,1.1,0.684237598,Kellwasser,1,0.75,18.18,103.7711627,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.01,12.57,0.4,0,5.88,10.74,0,-26.74710413
0.8,0.7,0.3879819,Background,5,0.75,24.06,130.5182668,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.02,1.83,0.8,1.1,0.684237598,Kellwasser,1,0.75,18.18,103.7711627,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.01,12.57,0.4,0,5.88,10.74,0,-26.74710413
0.8,0.7,0.3879819,Background,5,0.75,24.06,130.5182668,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.02,1.83,0.8,1.2,0.684237598,Kellwasser,1,0.75,18.18,118.3068962,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.02,12.57,0.5,0,5.88,10.74,0,-12.21137063
1.2,1.1,0.468167688,Background,2.5,0.75,21.46,111.5448613,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.41,1.65,1.2,1.7,0.472367969,Kellwasser,1,0.75,18.18,113.443406,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.42,9.91,0.6,0,3.28,8.26,0,1.898544724
1.1,1.1,0.416669591,Background,2.5,1,21.46,113.6966021,251103.pO2PO4_55b.dat.31,3.85,1.1,1.6,0.5543525,Kellwasser,0.75,1,17.06,100.9647749,251025.pO2PO4_55c.dat.31,10.09,0.5,0,4.4,6.24,0,-12.73182716
1.1,1.2,0.416669591,Background,2.5,1,21.46,136.0907772,251103.pO2PO4_55b.dat.32,3.85,1.1,1.6,0.5543525,Kellwasser,0.75,1,17.06,100.9647749,251025.pO2PO4_55c.dat.31,10.09,0.4,0,4.4,6.24,0,-35.12600233
1.2,1.1,0.370451494,Background,5,0.75,24.06,100.7840037,Devon370Ma_075Remin_5pCO2.pO2PO4_55b.dat.41,2.29,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.4,-0.2,7,10.55,0.25,-20.73779614
1.1,1.1,0.416669591,Background,2.5,1,21.46,113.6966021,251103.pO2PO4_55b.dat.31,3.85,1.1,1.7,0.554011959,Kellwasser,0.75,1,17.06,120.2411222,251025.pO2PO4_55c.dat.32,13.67,0.6,0,4.4,9.82,0,6.544520143
1.1,1.2,0.416669591,Background,2.5,1,21.46,136.0907772,251103.pO2PO4_55b.dat.32,3.85,1.1,1.7,0.554011959,Kellwasser,0.75,1,17.06,120.2411222,251025.pO2PO4_55c.dat.32,13.67,0.5,0,4.4,9.82,0,-15.84965503
1.2,1.2,0.427080903,Background,2.5,1,21.46,145.293583,251103.pO2PO4_55b.dat.42,2.84,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.3,-0.2,4.4,10,0,-65.24737546
1,1,0.371971628,Background,2.5,1,21.46,87.83979865,251103.pO2PO4_55b.dat.20,2.75,1.1,1.7,0.521273485,Kellwasser,1,0.75,18.18,109.2405873,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.32,12.2,0.7,0.1,3.28,9.45,-0.25,21.40078868
1,1,0.371971628,Background,2.5,1,21.46,87.83979865,251103.pO2PO4_55b.dat.20,2.75,1.1,1.6,0.521273485,Kellwasser,1,0.75,18.18,91.41401824,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.31,12.2,0.6,0.1,3.28,9.45,-0.25,3.574219591
1.1,1.1,0.355966851,Background,5,1,24.06,102.5284655,Devon370Ma_1Remin_5pCO2.pO2PO4_55b.dat.31,3.67,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.4,-0.1,7,9.17,0,-22.48225791
0.9,0.9,0.351258549,Background,2.5,1,21.46,217.7454153,251103.pO2PO4_55a.dat.14,2.84,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.5,0.1,3.28,8.26,-0.25,-38.0432466
