pO2_bg,PO4_bg,mscore_bg,State_bg,pCO2_bg,efolding (m)_bg,globe_avg_temp (C)_bg,dissolved_O2_sur (molkg-1x1E6)_bg,file_bg,benthic_anoxia_bg,pO2_ev,PO4_ev,mscore_ev,State_ev,pCO2_ev,efolding (m)_ev,globe_avg_temp (C)_ev,dissolved_O2_sur (molkg-1x1E6)_ev,file_ev,benthic_anoxia_ev,PO4_change,pO2_change,temp_change,benthic_anoxia_change,efolding_change,dissolved_O2_change (avg over top 500 m)
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,0.9,1.2,0.707311062,Kellwasser,1,0.75,18.18,123.9745034,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.12,9.27,0.4,0,5.88,7.44,0,-42.16445086
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,0.9,1.2,0.707311062,Kellwasser,1,0.75,18.18,123.9745034,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.12,9.27,0.4,0,5.88,7.44,0,-42.16445086
1.2,1.1,0.468167688,Background,2.5,0.75,21.46,111.5448613,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.41,1.65,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.3,-0.2,3.28,9.45,0,68.1573074
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.1,1.6,0.5543525,Kellwasser,0.75,1,17.06,100.9647749,251025.pO2PO4_55c.dat.31,10.09,0.7,0.1,7,7.98,0.25,-102.5860183
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.1,1.6,0.5543525,Kellwasser,0.75,1,17.06,100.9647749,251025.pO2PO4_55c.dat.31,10.09,0.7,0.1,7,7.98,0.25,-102.5860183
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.1,1.7,0.554011959,Kellwasser,0.75,1,17.06,120.2411222,251025.pO2PO4_55c.dat.32,13.67,0.8,0.1,7,11.56,0.25,-83.30967103
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.1,1.7,0.554011959,Kellwasser,0.75,1,17.06,120.2411222,251025.pO2PO4_55c.dat.32,13.67,0.8,0.1,7,11.56,0.25,-83.30967103
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.5,-0.1,4.4,11.46,0.25,-5.794441673
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,0.9,1.2,0.707311062,Kellwasser,1,0.75,18.18,123.9745034,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.12,9.27,0.2,-0.2,3.28,7.89,0,38.1338541
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,1,1.5,0.524769688,Kellwasser,1,0.75,18.18,72.0914104,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.20,15.96,0.7,0.1,5.88,14.13,0,-94.04754383
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,1,1.5,0.524769688,Kellwasser,1,0.75,18.18,72.0914104,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.20,15.96,0.7,0.1,5.88,14.13,0,-94.04754383
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,0.9,1.3,0.66094357,Kellwasser,1,0.75,18.18,145.8663173,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.13,14.68,0.5,0,5.88,12.85,0,-20.2726369
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,0.9,1.4,0.66094357,Kellwasser,1,0.75,18.18,169.6706604,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.14,14.68,0.6,0,5.88,12.85,0,3.53170617
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,0.9,1.4,0.66094357,Kellwasser,1,0.75,18.18,169.6706604,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.14,14.68,0.6,0,5.88,12.85,0,3.53170617
0.9,0.8,0.414501043,Background,5,0.75,24.06,166.1389542,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.13,1.83,0.9,1.3,0.66094357,Kellwasser,1,0.75,18.18,145.8663173,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.13,14.68,0.5,0,5.88,12.85,0,-20.2726369
0.8,0.7,0.3879819,Background,5,0.75,24.06,130.5182668,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.02,1.83,0.9,1.2,0.707311062,Kellwasser,1,0.75,18.18,123.9745034,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.12,9.27,0.5,0.1,5.88,7.44,0,-6.543763448
0.8,0.7,0.3879819,Background,5,0.75,24.06,130.5182668,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.02,1.83,0.9,1.2,0.707311062,Kellwasser,1,0.75,18.18,123.9745034,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.12,9.27,0.5,0.1,5.88,7.44,0,-6.543763448
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.1,1.7,0.521273485,Kellwasser,1,0.75,18.18,109.2405873,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.32,12.2,0.8,0.1,5.88,10.09,0,-94.3102059
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.1,1.6,0.521273485,Kellwasser,1,0.75,18.18,91.41401824,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.31,12.2,0.7,0.1,5.88,10.09,0,-112.136775
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.1,1.7,0.521273485,Kellwasser,1,0.75,18.18,109.2405873,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.32,12.2,0.8,0.1,5.88,10.09,0,-94.3102059
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.1,1.6,0.521273485,Kellwasser,1,0.75,18.18,91.41401824,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.31,12.2,0.7,0.1,5.88,10.09,0,-112.136775
1,1,0.371971628,Background,2.5,1,21.46,87.83979865,251103.pO2PO4_55b.dat.20,2.75,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.4,0,3.28,8.35,-0.25,91.86237003
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,0.9,1.3,0.66094357,Kellwasser,1,0.75,18.18,145.8663173,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.13,14.68,0.3,-0.2,3.28,13.3,0,60.02566806
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,0.9,1.4,0.66094357,Kellwasser,1,0.75,18.18,169.6706604,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.14,14.68,0.4,-0.2,3.28,13.3,0,83.83001114
1.2,1.1,0.468167688,Background,2.5,0.75,21.46,111.5448613,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.41,1.65,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.4,-0.2,4.4,11.19,0.25,-31.49865369
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,1,1.5,0.524769688,Kellwasser,1,0.75,18.18,72.0914104,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.20,15.96,0.5,-0.1,3.28,14.58,0,-13.74923886
1.1,1,0.390493104,Background,5,0.75,24.06,77.53463433,Devon370Ma_075Remin_5pCO2.pO2PO4_55b.dat.30,2.29,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.4,-0.1,5.88,8.81,0,102.1675344
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.2,1.9,0.49245255,Kellwasser,0.75,1,17.06,170.2301379,251025.pO2PO4_55c.dat.44,10.64,1,0.2,7,8.53,0.25,-33.32065533
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.2,1.8,0.49245255,Kellwasser,0.75,1,17.06,146.8665869,251025.pO2PO4_55c.dat.43,10.64,0.9,0.2,7,8.53,0.25,-56.68420633
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.2,1.9,0.49245255,Kellwasser,0.75,1,17.06,170.2301379,251025.pO2PO4_55c.dat.44,10.64,1,0.2,7,8.53,0.25,-33.32065533
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.2,1.8,0.49245255,Kellwasser,0.75,1,17.06,146.8665869,251025.pO2PO4_55c.dat.43,10.64,0.9,0.2,7,8.53,0.25,-56.68420633
1,1.1,0.393150484,Background,2.5,1,21.46,107.1565566,251103.pO2PO4_55b.dat.21,3.94,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.3,0,3.28,7.16,-0.25,72.54561206
0.8,0.7,0.3879819,Background,5,0.75,24.06,130.5182668,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.02,1.83,0.9,1.3,0.66094357,Kellwasser,1,0.75,18.18,145.8663173,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.13,14.68,0.6,0.1,5.88,12.85,0,15.34805051
0.8,0.7,0.3879819,Background,5,0.75,24.06,130.5182668,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.02,1.83,0.9,1.4,0.66094357,Kellwasser,1,0.75,18.18,169.6706604,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.14,14.68,0.7,0.1,5.88,12.85,0,39.15239358
0.8,0.7,0.3879819,Background,5,0.75,24.06,130.5182668,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.02,1.83,0.9,1.4,0.66094357,Kellwasser,1,0.75,18.18,169.6706604,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.14,14.68,0.7,0.1,5.88,12.85,0,39.15239358
0.8,0.7,0.3879819,Background,5,0.75,24.06,130.5182668,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.02,1.83,0.9,1.3,0.66094357,Kellwasser,1,0.75,18.18,145.8663173,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.13,14.68,0.6,0.1,5.88,12.85,0,15.34805051
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.2,1.7,0.472367969,Kellwasser,1,0.75,18.18,113.443406,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.42,9.91,0.8,0.2,5.88,7.8,0,-90.10738722
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.2,1.7,0.472367969,Kellwasser,1,0.75,18.18,113.443406,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.42,9.91,0.8,0.2,5.88,7.8,0,-90.10738722
1.1,1.2,0.416669591,Background,2.5,1,21.46,136.0907772,251103.pO2PO4_55b.dat.32,3.85,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.2,-0.1,3.28,7.25,-0.25,43.61139145
