,index,pO2_bg,PO4_bg,mscore_bg,State_bg,pCO2_bg,efolding (m)_bg,globe_avg_temp (C)_bg,dissolved_O2_sur (molkg-1x1E6)_bg,file_bg,benthic_anoxia_bg,pO2_ev,PO4_ev,mscore_ev,State_ev,pCO2_ev,efolding (m)_ev,globe_avg_temp (C)_ev,dissolved_O2_sur (molkg-1x1E6)_ev,file_ev,benthic_anoxia_ev,PO4_change,pO2_change,temp_change,benthic_anoxia_change,efolding_change,O2_change,rmse
303,302,1.0,1.0,0.371971628,Background,2.5,1.0,21.46,87.83979865,251103.pO2xPO4_5x5b.dat.20,2.75,1.1,1.6,0.455580778,Kellwasser,0.75,0.75,17.06,94.77377171,Devon370Ma_075xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.31,7.98,0.6,0.1,-4.4,5.23,-0.25,6.93397306,12.837148449363735
31,30,1.2,0.9,0.352479784,Background,5.0,0.5,24.06,223.9596215,Devon370Ma_050xRemin_5xpCO2.pO2xPO4_5x5a.dat.44,1.19,1.2,1.7,0.44513511,Kellwasser,0.75,0.75,17.06,117.0295218,Devon370Ma_075xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.42,7.34,0.8,0.0,-7.0,6.15,0.25,-106.9300997,12.936480797707508
456,455,1.1,1.1,0.355966851,Background,5.0,1.0,24.06,102.5284655,Devon370Ma_1xRemin_5xpCO2.pO2xPO4_5x5b.dat.31,3.67,1.1,1.7,0.554011959,Kellwasser,0.75,1.0,17.06,120.2411222,Devon370Ma_1xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.32,13.67,0.6,0.0,-7.0,10.0,0.0,17.7126567,12.938414238194534
242,241,1.1,1.0,0.390493104,Background,5.0,0.75,24.06,77.53463433,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5b.dat.30,2.29,1.1,1.6,0.455580778,Kellwasser,0.75,0.75,17.06,94.77377171,Devon370Ma_075xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.31,7.98,0.6,0.0,-7.0,5.69,0.0,17.23913738,13.003942248804272
265,264,1.2,1.1,0.370451494,Background,5.0,0.75,24.06,100.7840037,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5b.dat.41,2.29,1.2,1.7,0.44513511,Kellwasser,0.75,0.75,17.06,117.0295218,Devon370Ma_075xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.42,7.34,0.6,0.0,-7.0,5.05,0.0,16.2455181,13.170520714606683
253,252,1.1,1.0,0.390493104,Background,5.0,0.75,24.06,77.53463433,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5b.dat.30,2.29,1.2,1.7,0.472367969,Kellwasser,1.0,0.75,18.18,113.443406,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5c.dat.42,9.91,0.7,0.1,-5.88,7.62,0.0,35.90877167,13.192381120628006
251,250,1.1,1.0,0.390493104,Background,5.0,0.75,24.06,77.53463433,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5b.dat.30,2.29,1.2,1.6,0.634581795,Kellwasser,1.0,0.75,18.18,95.13406258,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5c.dat.41,7.34,0.6,0.1,-5.88,5.05,0.0,17.59942825,13.22002976632753
57,56,1.1,1.0,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075xRemin_2.5xpCO2.pO2xPO4_5x5b.dat.30,1.38,1.2,1.7,0.44513511,Kellwasser,0.75,0.75,17.06,117.0295218,Devon370Ma_075xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.42,7.34,0.7,0.1,-4.4,5.96,0.0,31.18887254,13.229996809595802
255,254,1.1,1.0,0.390493104,Background,5.0,0.75,24.06,77.53463433,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5b.dat.30,2.29,1.2,1.8,0.375039434,Kellwasser,1.0,0.75,18.18,133.0883533,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5c.dat.43,12.75,0.8,0.1,-5.88,10.46,0.0,55.55371897,13.283762599716063
224,223,1.0,0.9,0.427189722,Background,5.0,0.75,24.06,203.5507932,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.24,2.11,1.1,1.5,0.646946866,Kellwasser,1.0,0.75,18.18,74.9922765,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5c.dat.30,7.98,0.6,0.1,-5.88,5.87,0.0,-128.5585167,13.35470327637601
